wbtv.com,1,2,-1
theoutline.com,1,-1,-1
cbslocal.com,1,1,-1
mitchelladvocate.com,1,1,1
mediamaxnetwork.co.ke,1,-1,-1
vnews.com,1,-1,-1
wthitv.com,-1,1,1
winsfordguardian.co.uk,-1,1,-1
musicconnection.com,2,-1,-1
hapakenya.com,1,-1,-1
muraselon.com,1,-1,-1
english.sta.si,1,-1,-1
101x.com,1,1,-1
gamerevolution.com,1,-1,-1
kvue.com,1,1,1
footwearnews.com,1,1,-1
sde.co.ke,2,-1,1
myjoyonline.com,2,1,1
vanityfair.com,1,1,-1
kut.org,1,-1,-1
thelocal.dk,1,1,1
ballotpedia.org,-1,1,-1
udm.org.za,2,-1,-1
diyweek.net,2,-1,-1
highrivertimes.com,-1,1,1
wmtw.com,-1,1,-1
thecharlottepost.com,2,-1,-1
wsaz.com,1,1,-1
parkeschampionpost.com.au,-1,1,-1
cd1059.com,1,1,1
jsp.co.uk,1,-1,-1
adamcarolla.com,2,-1,-1
rappler.com,1,1,1
centexproud.com,-1,1,-1
wctv.tv,1,1,-1
topspeed.com,-1,1,-1
vh1.com,1,1,-1
hawaiinewsnow.com,1,1,-1
knoe.com,1,1,-1
wccftech.com,1,1,-1
techgadgetcentral.com,1,1,-1
bramptonguardian.com,-1,1,1
majalla.com,2,-1,-1
gbtimes.com,1,-1,-1
soapsindepth.com,-1,1,-1
brushnewstribune.com,2,-1,-1
nola.com,1,1,1
houstontexans.com,-1,1,-1
liveleak.com,1,-1,-1
texastribune.org,-1,-1,1
nashfm1065.com,-1,-1,1
wibw.com,1,1,1
tweeddailynews.com.au,1,1,1
hankfm.com,-1,1,1
parisguardian.com,2,-1,-1
financialexpress.com,1,1,-1
sgu.edu,1,-1,-1
delmarvapublicradio.net,2,-1,-1
icflorida.com,-1,1,-1
courierpostonline.com,1,1,1
whas11.com,1,1,1
aspendailynews.com,-1,-1,1
lifehacker.com.au,1,1,-1
qctimes.com,-1,1,-1
thenewswheel.com,1,1,-1
worldbank.org,1,1,1
rock101.com,1,1,-1
reporternews.com,-1,1,1
exhibitionworld.co.uk,1,-1,-1
ngnews.ca,1,-1,-1
osundefender.com,2,-1,-1
thepropertypin.com,3,-1,-1
azcentral.com,1,1,1
wowktv.com,-1,1,-1
presstv.com,1,2,-1
watoday.com.au,1,-1,-1
astreaminlife.com,1,-1,-1
rightwingwatch.org,1,-1,-1
oliveoiltimes.com,-1,1,-1
dailygazette.com,-1,1,-1
yahoo.com,1,1,-1
loadoutroom.com,1,-1,-1
wlrfm.com,-1,1,-1
mymix1079.com,1,-1,-1
wearable-technologies.com,1,-1,-1
womenshealthmag.com,-1,1,-1
pressparty.com,1,-1,-1
matthewtoffolo.com,1,-1,-1
backstage.com,2,-1,-1
autoindustriya.com,2,-1,-1
meduza.io,1,-1,-1
nan.ng,4,4,-1
shareably.net,1,-1,-1
grapevine.is,1,-1,-1
destinyconnect.com,1,1,-1
nondoc.com,1,-1,-1
africaleader.com,2,-1,-1
irishsun.com,2,-1,-1
tntmagazine.com,1,-1,-1
dynamicbusiness.com.au,2,-1,-1
chymfm.com,-1,1,-1
wutc.org,1,-1,-1
courierpress.com,-1,1,-1
sdpb.org,1,-1,-1
stroudnewsandjournal.co.uk,-1,1,-1
ladysmithgazette.co.za,1,-1,-1
vanyaland.com,1,1,-1
mamamia.com.au,-1,1,1
hawkesburygazette.com.au,1,1,-1
academia.org,2,-1,-1
pcgamer.com,-1,1,-1
iheart.com,1,1,1
mortgagesolutions.co.uk,-1,1,-1
maximumfun.org,1,-1,-1
rewind1009.com,1,-1,-1
thesource.com,1,1,-1
wiltshirebusinessonline.co.uk,1,1,-1
khay.com,-1,-1,1
argentinastar.com,2,-1,-1
aspeninstitute.org,1,1,-1
abc7chicago.com,1,1,-1
krcu.org,1,-1,-1
enfieldindependent.co.uk,-1,1,-1
shropshirelive.com,-1,1,-1
journalpioneer.com,1,-1,-1
963bigfm.com,1,1,-1
revengeofthebirds.com,-1,1,-1
tribuneonlineng.com,2,1,-1
nta.ng,2,-1,-1
truthdig.com,1,1,-1
pressconnects.com,1,1,1
gilroydispatch.com,1,-1,-1
balonnebeacon.com.au,-1,1,-1
asiaone.com,1,1,-1
thedailybeast.com,1,-1,-1
kickn1035.com,1,-1,-1
995qyk.com,1,1,-1
bobatthebeach.com,1,-1,-1
bluebirdbanter.com,-1,1,-1
grahamcluley.com,-1,1,-1
bollywoodlife.com,1,1,1
skepticalscience.com,1,-1,-1
demingheadlight.com,1,1,1
surreynowleader.com,-1,1,-1
indystar.com,1,1,1
jg-tc.com,1,1,-1
autoevolution.com,-1,1,-1
wedg.com,1,-1,-1
allkpop.com,2,1,-1
vision.org.au,1,-1,-1
citizen-times.com,1,1,-1
nantonnews.com,-1,1,1
sitnews.us,1,-1,-1
beachconnection.net,1,-1,-1
weku.fm,1,-1,-1
cw33.com,1,1,-1
sailing.org,2,-1,-1
democraticunderground.com,1,1,-1
cosmopolitan.com,-1,1,-1
arabherald.com,2,-1,-1
cbs17.com,-1,1,-1
joeam.com,3,1,-1
techxplore.com,1,-1,-1
kvoa.com,1,1,-1
droid-life.com,1,-1,-1
thedefensepost.com,-1,1,-1
telecoms.com,-1,1,-1
whqr.org,1,-1,-1
songlines.co.uk,1,-1,-1
pointemagazine.com,2,-1,-1
channel4000.com,1,1,-1
newbostonpost.com,-1,1,-1
postindependent.com,-1,-1,1
etonline.com,1,1,-1
furnituretoday.com,2,-1,-1
